timestamp,beats per minute,data source
2025-09-27T00:00:00Z,66.427,Fitbit App
2025-09-28T00:00:00Z,64.405,Fitbit App
2025-09-29T00:00:00Z,64.151,Fitbit App
2025-09-30T00:00:00Z,64.649,Fitbit App
2025-10-01T00:00:00Z,63.684,Fitbit App
2025-10-02T00:00:00Z,63.738,Fitbit App
2025-10-03T00:00:00Z,63.735,Fitbit App
2025-10-04T00:00:00Z,63.889,Fitbit App
2025-10-05T00:00:00Z,63.903,Fitbit App
2025-10-06T00:00:00Z,63.614,Fitbit App
2025-10-07T00:00:00Z,63.952,Fitbit App
2025-10-08T00:00:00Z,65.038,Fitbit App
2025-10-09T00:00:00Z,64.885,Fitbit App
2025-10-10T00:00:00Z,64.905,Fitbit App
2025-10-11T00:00:00Z,65.345,Fitbit App
2025-10-12T00:00:00Z,66.597,Fitbit App
2025-10-13T00:00:00Z,67.722,Fitbit App
2025-10-14T00:00:00Z,67.398,Fitbit App
2025-10-15T00:00:00Z,67.549,Fitbit App
2025-10-17T00:00:00Z,66.336,Fitbit App
2025-10-18T00:00:00Z,67.513,Fitbit App
2025-10-19T00:00:00Z,67.755,Fitbit App
2025-10-20T00:00:00Z,67.577,Fitbit App
2025-10-21T00:00:00Z,67.072,Fitbit App
2025-10-22T00:00:00Z,67.341,Fitbit App
2025-10-23T00:00:00Z,67.878,Fitbit App
2025-10-25T00:00:00Z,69.211,Fitbit App
2025-10-26T00:00:00Z,68.863,Fitbit App
2025-10-27T00:00:00Z,67.581,Fitbit App
2025-10-28T00:00:00Z,66.828,Fitbit App
2025-10-30T00:00:00Z,66.762,Fitbit App
2025-10-31T00:00:00Z,67.34,Fitbit App
2025-11-01T00:00:00Z,68.551,Fitbit App
2025-11-02T00:00:00Z,67.656,Fitbit App
2025-11-04T00:00:00Z,67.517,Fitbit App
2025-11-05T00:00:00Z,67.224,Fitbit App
2025-11-06T00:00:00Z,66.673,Fitbit App
2025-11-07T00:00:00Z,67.645,Fitbit App
2025-11-08T00:00:00Z,68.869,Fitbit App
2025-11-09T00:00:00Z,68.702,Fitbit App
2025-11-10T00:00:00Z,68.317,Fitbit App
2025-11-11T00:00:00Z,69.233,Fitbit App
2025-11-13T00:00:00Z,68.821,Fitbit App
2025-11-17T00:00:00Z,67.754,Fitbit App
